latitude,longitude,landslide_trigger,landslide_setting,landslide_category
22.4827,111.3604,tropical_cyclone,,landslide
28.0054,82.68,rain,,landslide
27.0875,88.6556,downpour,,landslide
21.2331,103.9847,rain,,rock_fall
34.7982,71.3823,,,other
29.5177,106.5361,,,landslide
-22.4891,-43.1828,downpour,,mudslide
23.4715,120.6976,tropical_cyclone,,landslide
34.9667,108.4058,,,landslide
28.4333,83.1202,continuous_rain,,landslide
35.2685,75.6271,earthquake,natural_slope,landslide
-5.4589,104.7045,monsoon,,landslide
36.2792,74.6006,earthquake,above_road,rock_fall
16.2109,101.0521,downpour,,landslide
45.5278,-122.6652,snowfall_snowmelt,above_road,rock_fall
-17.9785,178.5253,downpour,above_road,landslide
40.5305,-79.8506,no_apparent_trigger,above_road,landslide
10.8388,123.495,rain,,landslide
30.4554,78.0973,downpour,above_road,debris_flow
11.2181,-60.6234,downpour,,landslide
7.2094,100.5901,downpour,,landslide
41.7902,23.1572,,above_road,rock_fall
8.4418,-73.2665,downpour,,complex
-16.6872,178.7081,downpour,,landslide
6.4737,125.0676,continuous_rain,above_road,landslide
25.0672,93.4093,downpour,,landslide
6.08,-75.639,rain,,landslide
-39.4585,173.8561,,above_river,landslide
37.9472,41.5061,downpour,,landslide
-17.9642,-65.4614,downpour,,landslide
14.6808,-90.5214,downpour,,landslide
40.6558,-105.3742,downpour,,landslide
60.8228,-136.5506,downpour,,mudslide
15.9949,121.6164,tropical_cyclone,,landslide
33.3037,75.1827,snowfall_snowmelt,,landslide
45.385,26.5227,rain,,landslide
45.5249,-122.7082,continuous_rain,,landslide
26.5836,93.0038,downpour,,landslide
0.4695,35.6128,rain,,landslide
50.5848,-3.4585,downpour,below_road,landslide
45.7717,-122.7428,downpour,,mudslide
16.4193,120.62,downpour,,landslide
32.8054,130.7061,earthquake,retaining_wall,other
39.723,-91.3708,continuous_rain,,landslide
29.1309,81.6631,downpour,,landslide
0.9699,34.3243,downpour,,landslide
32.0996,77.1586,downpour,,landslide
2.5871,112.5473,downpour,,landslide
14.8494,120.2913,tropical_cyclone,,rock_fall
43.6609,-123.3327,,above_road,landslide
30.3822,78.0949,downpour,,landslide
43.8187,-115.3455,continuous_rain,,landslide
37.1552,-87.7898,downpour,,landslide
42.7188,25.7153,downpour,,landslide
57.147,-5.0937,downpour,above_road,landslide
10.3494,123.9334,downpour,,landslide
9.3147,-79.7975,rain,urban,mudslide
11.1807,-60.7651,downpour,,landslide
47.88398686,-118.16398591,downpour,below_road,landslide
25.82860033,91.876717,downpour,above_road,landslide
40.37960204,-111.55346482,rain,above_road,mudslide
27.04040393,89.90633458,downpour,above_road,landslide
41.71539,-124.135637,no_apparent_trigger,above_road,landslide
-41.10366565,175.29492485,rain,above_road,landslide
-22.527652,-43.212778,rain,,landslide
46.39692045,-122.79791907,rain,above_road,landslide
32.996781,-116.958162,rain,above_road,mudslide
49.32862395,-116.69808084,rain,above_road,mudslide
31.09793945,77.15163968,continuous_rain,below_road,landslide
27.99717329,112.03387746,continuous_rain,natural_slope,landslide
45.54421,-122.763103,rain,above_road,landslide
42.55165458,-123.56741738,snowfall_snowmelt,above_road,mudslide
48.62466012,-118.07246369,rain,above_road,mudslide
49.91772889,-116.93886752,rain,natural_slope,landslide
45.3960836,-122.47839684,downpour,below_road,landslide
27.61790706,93.84196894,monsoon,natural_slope,landslide
36.73429097,-83.26251819,continuous_rain,above_road,mudslide
25.61919207,92.7094701,continuous_rain,natural_slope,landslide
0.541576,101.458434,downpour,above_river,landslide
38.95351828,-84.2759015,continuous_rain,below_road,landslide
10.310885,123.823355,rain,above_road,landslide
40.88696417,73.14160874,downpour,,mudslide
49.02217598,-122.80504227,rain,urban,mudslide
47.495604,-121.86001154,other,natural_slope,creep
35.9125,-92.8544,,deforested_slope,landslide
46.0701075,7.02088167,snowfall_snowmelt,above_road,rock_fall
47.82896265,8.06977907,snowfall_snowmelt,urban,debris_flow
47.76641942,9.09222101,downpour,natural_slope,landslide
47.28107672,11.02811572,rain,above_road,mudslide
37.63704817,110.95357306,,engineered_slope,translational_slide
-0.37203532,37.59945648,continuous_rain,deforested_slope,landslide
49.09758053,-116.98496819,rain,above_road,mudslide
24.02515388,91.49747518,continuous_rain,,landslide
37.35464634,-80.81005571,rain,above_road,mudslide
7.13919942,-75.65887248,construction,urban,mudslide
35.74259234,-82.1465415,rain,above_road,mudslide
7.13932007,-75.65656539,rain,engineered_slope,landslide
39.17517159,-120.23762737,rain,above_road,mudslide
39.17932173,-120.22986371,rain,above_road,mudslide
37.86461199,-80.35035853,downpour,above_road,rock_fall
37.76858896,-80.88388582,downpour,above_road,mudslide
45.57577823,24.61322279,,above_road,rock_fall
46.2664498,-123.29357848,rain,below_road,creep
47.09399534,-122.6873319,,above_road,landslide
44.49276819,-109.99730397,rain,above_road,mudslide
14.4961195,-91.34417618,downpour,below_road,landslide
50.88346671,4.5056491,downpour,above_road,mudslide
47.64261338,-122.34434572,downpour,above_road,landslide
22.87692523,93.53110808,,below_road,landslide
22.83489265,93.54663401,,,landslide
22.81570622,93.55649245,,,landslide
23.43271033,94.30838822,,above_river,landslide
19.75056137,94.34484376,,deforested_slope,landslide
19.66581675,94.58317916,,,landslide
18.73003933,94.69552255,,burned_area,landslide
18.71550011,94.69746459,,burned_area,landslide
18.70335355,94.67212073,,burned_area,landslide
18.70647883,94.67455838,,burned_area,landslide
18.75669532,94.67434497,,burned_area,landslide
18.75463831,94.68260871,,burned_area,landslide
18.75454404,94.67410364,,burned_area,landslide
18.74226189,94.6757217,,burned_area,landslide
18.73897895,94.67424326,,burned_area,landslide
18.7368193,94.68011722,,burned_area,landslide
18.73442986,94.68519358,,burned_area,landslide
18.73320083,94.68385561,,burned_area,landslide
18.73217812,94.68246799,,burned_area,landslide
18.73186664,94.68235512,,burned_area,landslide
18.71697127,94.68612073,,burned_area,landslide
18.73739598,94.69655856,,burned_area,landslide
18.73789832,94.6989461,,burned_area,landslide
18.73055915,94.6841727,,burned_area,landslide
